column,missing_count,missing_pct
30DAI(in mm),0,0.0
30DRain( in mm),0,0.0
30_50DAI(in mm),0,0.0
30_50DRain( in mm),0,0.0
51_70AI(in mm),0,0.0
51_70DRain(in mm),0,0.0
71_105DAI(in mm),0,0.0
71_105DRain(in mm),0,0.0
Agriblock,0,0.0
DAP_20days,0,0.0
Hectares,0,0.0
Inst Wind Speed_D1_D30(in Knots),0,0.0
Inst Wind Speed_D31_D60(in Knots),0,0.0
Inst Wind Speed_D61_D90(in Knots),0,0.0
Inst Wind Speed_D91_D120(in Knots),0,0.0
LP_Mainfield(in Tonnes),0,0.0
LP_nurseryarea(in Tonnes),0,0.0
Max temp_D1_D30,0,0.0
Max temp_D31_D60,0,0.0
Max temp_D61_D90,0,0.0
Max temp_D91_D120,0,0.0
Micronutrients_70Days,0,0.0
Min temp_D1_D30,0,0.0
Min temp_D31_D60,0,0.0
Min temp_D61_D90,0,0.0
Min temp_D91_D120,0,0.0
Nursery,0,0.0
Nursery area (Cents),0,0.0
Paddy yield(in Kg),0,0.0
Pest_60Day(in ml),0,0.0
Potassh_50Days,0,0.0
Relative Humidity_D1_D30,0,0.0
Relative Humidity_D31_D60,0,0.0
Relative Humidity_D61_D90,0,0.0
Relative Humidity_D91_D120,0,0.0
Seedrate(in Kg),0,0.0
Soil Types,0,0.0
Trash(in bundles),0,0.0
Urea_40Days,0,0.0
Variety,0,0.0
Weed28D_thiobencarb,0,0.0
Wind Direction_D1_D30,0,0.0
Wind Direction_D31_D60,0,0.0
Wind Direction_D61_D90,0,0.0
Wind Direction_D91_D120,0,0.0
