group_column,group_value,n_rows,soil_P_missing_pct,soil_P_all_missing,soil_pH_missing_pct,soil_pH_all_missing,drop_group,decision_reason
trial_id,14,89,1.0,True,0.5056179775280899,False,True,full_missing:soil_P
trial_id,15,86,1.0,True,1.0,True,True,full_missing:soil_P;soil_pH
trial_id,19,19,1.0,True,0.47368421052631576,False,True,full_missing:soil_P
trial_id,7,84,1.0,True,1.0,True,True,full_missing:soil_P;soil_pH
trial_id,1,78,0.5,False,0.5,False,False,kept
trial_id,10,63,0.0,False,0.0,False,False,kept
trial_id,11,66,0.5,False,0.5,False,False,kept
trial_id,12,63,0.5079365079365079,False,0.5079365079365079,False,False,kept
trial_id,13,64,0.484375,False,0.484375,False,False,kept
trial_id,16,39,0.0,False,0.0,False,False,kept
trial_id,17,36,0.0,False,0.0,False,False,kept
trial_id,2,39,0.0,False,0.0,False,False,kept
trial_id,4,80,0.5,False,0.5,False,False,kept
trial_id,5,150,0.0,False,0.0,False,False,kept
trial_id,6,38,0.0,False,0.0,False,False,kept
trial_id,8,42,0.0,False,0.0,False,False,kept
trial_id,9,72,0.5,False,0.5,False,False,kept
