dataset_id,record_id,trial_id,planting_date,season,flooded,on_farm,is_survey,treatment,rep,crop,variety,dmy_residue,yield_part,yield,yield_moisture,N_fertilizer,P_fertilizer,K_fertilizer,irrigated,row_spacing,plot_area,grain_P,residue_P,country,location,longitude,latitude,geo_from_source,soil_pH,soil_P
doi_10.7910_DVN_AMAZXA,1,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,IR8,,grain,5588.7,,0,0,0,TRUE,15,3,1.4167,0.1667,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,2,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,DAWEBYAN,,grain,78.333,,0,0,0,TRUE,15,3,1.3867,0.22,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,3,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,BJ1,,grain,1791.3,,0,0,0,TRUE,15,3,1.28,0.1333,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,4,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,SADRITORMISRI,,grain,1324,,0,0,0,TRUE,15,3,1.8996,0.2833,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,5,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,SANTHISUFAID,,grain,4093.3,,0,0,0,TRUE,15,3,1.5,0.2667,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,6,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,TOG7178,,grain,2428.3,,0,0,0,TRUE,15,3,1.9267,0.4233,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,7,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,DJ123,,grain,233.333,,0,0,0,TRUE,15,3,1.34,0.1733,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,8,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,MUDGO,,grain,3126.7,,0,0,0,TRUE,15,3,1.3967,0.2633,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,9,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,SIGADIS,,grain,137.333,,0,0,0,TRUE,15,3,1.57,0.36,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,10,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,IR36,,grain,3298.7,,0,0,0,TRUE,15,3,1.3833,0.2233,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
doi_10.7910_DVN_AMAZXA,11,18,2014,wet,TRUE,FALSE,FALSE,-P,3,rice,EMATAA16-34,,grain,24,,0,0,0,TRUE,15,3,1.5433,0.2333,Sri Lanka,Bathalagoda,80.436,7.532,FALSE,5.8,2.65
